# Rank 0 GPU telemetry through the Triton arm's speed suite, one sample per 5 s.
# t_s is seconds from the first sample; start_utc is that sample's time.  start_utc=2026-09-10T03:19:09Z
t_s,temp_c,power_w,sm_clock_mhz
0,58,43.83,2528
5,64,73.08,2476
10,67,69.57,2489
15,67,74.83,2470
20,71,75.03,2463
25,72,75.14,2463
30,71,75.32,2463
35,72,55.03,2483
40,73,76.14,2457
45,75,75.92,2457
50,74,76.25,2450
55,78,76.73,2450
60,78,77.14,2457
65,77,77.02,2450
70,76,77.04,2450
75,78,76.91,2450
80,80,77.78,2444
86,78,77.67,2444
91,79,77.29,2444
96,78,77.45,2444
101,79,78.16,2437
106,82,76.76,2431
111,80,78.03,2444
116,79,78.02,2437
121,82,78.35,2437
126,80,77.90,2431
131,83,77.76,2437
136,79,77.89,2431
141,79,77.96,2437
146,80,78.17,2431
151,82,78.73,2431
156,84,78.90,2424
161,81,77.75,2431
166,81,78.05,2431
171,80,78.85,2431
176,83,78.92,2424
181,82,77.90,2424
187,81,78.41,2424
192,81,78.91,2431
197,85,78.88,2431
202,81,79.23,2424
207,85,77.99,2431
212,85,78.67,2418
217,81,78.65,2424
222,86,77.89,2431
227,84,78.74,2418
232,84,79.11,2431
237,82,78.61,2431
242,86,78.54,2424
247,83,78.64,2431
252,85,79.15,2424
257,84,78.54,2418
262,86,79.26,2431
267,83,78.48,2424
272,85,78.51,2424
277,83,78.46,2431
282,85,78.47,2431
288,83,78.74,2424
293,83,79.13,2424
298,82,77.72,2424
303,83,78.90,2424
308,83,79.02,2431
313,82,78.60,2431
318,83,78.31,2424
323,83,78.45,2431
328,84,78.29,2424
333,82,78.26,2424
338,85,78.29,2431
343,81,78.98,2424
348,84,78.86,2424
353,82,78.86,2418
358,84,78.67,2411
363,80,68.89,2450
368,77,48.89,2489
