# Rank 0 GPU telemetry through the FlashKDA arm's speed suite, one sample per 5 s.
# t_s is seconds from the first sample; start_utc is that sample's time.  start_utc=2026-09-10T03:06:30Z
t_s,temp_c,power_w,sm_clock_mhz
0,60,14.06,2405
5,73,76.87,2457
10,73,77.56,2457
16,76,77.80,2450
21,79,78.18,2450
26,80,78.00,2437
31,79,78.65,2431
36,80,77.98,2431
41,78,78.49,2437
46,80,78.87,2437
51,82,77.99,2437
56,75,41.35,2489
61,82,78.18,2418
66,79,78.15,2437
71,83,78.33,2437
76,82,78.55,2431
81,81,78.40,2424
86,80,78.69,2424
91,83,78.87,2431
96,81,72.30,2450
101,78,75.32,2411
106,85,79.18,2411
111,82,78.79,2418
116,83,79.24,2411
122,86,79.32,2418
127,83,79.05,2424
132,86,79.72,2418
137,84,79.46,2405
142,87,79.47,2411
147,87,79.99,2411
152,87,80.33,2424
157,86,80.09,2424
162,85,78.81,2392
167,86,80.69,2424
172,86,79.65,2418
177,86,80.22,2405
182,85,80.39,2418
187,84,79.67,2431
192,85,79.45,2418
197,85,79.85,2418
202,82,79.27,2411
207,84,79.83,2405
212,83,79.81,2418
217,85,79.88,2418
222,85,79.91,2431
228,85,79.89,2424
233,85,79.62,2411
238,86,79.46,2405
243,84,80.01,2405
248,86,79.86,2418
253,86,79.32,2424
258,85,78.75,2424
263,86,79.76,2418
268,83,79.50,2411
273,83,79.90,2418
278,86,79.47,2424
283,83,79.41,2431
288,84,79.44,2418
293,84,79.64,2418
298,84,79.79,2411
303,84,79.75,2418
308,86,79.90,2424
313,84,79.58,2424
318,83,78.46,2431
323,84,79.33,2431
329,81,53.24,2470
334,82,76.55,2418
339,84,73.52,2437
344,83,80.21,2411
349,85,80.43,2418
354,85,80.19,2424
359,78,49.78,2489
